     [11:29:36] --- Started Log ---
     [11:29:36] Cuberite Jenkins clang x64 Release (master) build id: #85
     [11:29:36] from commit id: bd2fc7716c4571dfd8840923b17d363dd19146d1 built at: Wed Mar 16 12:44:51 CET 2016
     [11:29:36] Creating new server instance...
     [11:29:36] Reading server config...
     [11:29:36] Starting server...
Info [11:29:36] Compatible clients: 1.7.x, 1.8.x
Info [11:29:36] Compatible protocol versions 4, 5, 47
Warn [11:29:36] WebServer: The server is running in unsecured HTTP mode.
Info [11:29:36] Put a valid HTTPS certificate in file 'webadmin/httpscert.crt' and its corresponding private key to 'webadmin/httpskey.pem' (without any password) to enable HTTPS support
Warn [11:29:36] Cannot open file "crafting.txt", no crafting recipes will be available!
     [11:29:36] Could not open the furnace recipes file "furnace.txt". No furnace recipes are available.
     [11:29:36] Could not open the brewing recipes file "brewing.txt". No brewing recipes are available.
     [11:29:36] -- Loading Plugins --
     [11:29:36] Initialized ChatLog v.3
     [11:29:36] Initialised Core v.15
     [11:29:36] Initialized TransAPI v.1
     [11:29:36] -- Loaded 4 Plugins --
Warn [11:29:36] Initialize: Cannot read monsters.ini file, monster attributes not available
Warn [11:29:36] Cannot read data from file Prefabs/Villages/PlainsVillage.cubeset
Warn [11:29:36] Cannot read data from file Prefabs/Villages/SandVillage.cubeset
Warn [11:29:45] Chunk generator overloaded, skipping chunk [-1, 11]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [0, 12]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [-1, 12]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [0, 13]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [-1, 13]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [0, 14]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [-1, 14]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [0, 15]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [-1, 15]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [0, 16]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [-1, 16]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [0, 17]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [-1, 17]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [0, 18]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [-1, 18]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [0, 19]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [-1, 19]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [0, 20]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [-1, 20]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [0, 21]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [-1, 21]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [0, 22]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [-1, 22]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [0, 23]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [-1, 23]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [0, 24]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [-1, 24]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [0, 25]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [-1, 25]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [0, 26]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [-1, 26]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [0, 27]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [-1, 27]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [0, 28]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [-1, 28]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [0, 29]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [-1, 29]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [0, 30]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [-1, 30]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [0, 31]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [-1, 31]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [1, 11]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [1, 12]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [1, 13]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [1, 14]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [1, 15]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [1, 16]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [1, 17]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [1, 18]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [1, 19]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [1, 20]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [1, 21]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [1, 22]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [1, 23]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [1, 24]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [1, 25]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [1, 26]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [1, 27]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [1, 28]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [1, 29]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [1, 30]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [1, 31]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [2, 11]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [2, 12]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [2, 13]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [2, 14]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [2, 15]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [2, 16]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [2, 17]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [2, 18]
Warn [11:29:45] Chunk generator overloaded, skipping chunk [2, 19]
